county_fips,county_name,workforce_base,pop_total_base,mig_mean_pct,mig_std_pct,state_fips,estimate_type,acs_overlap_note,wf_end_p5,wf_end_p10,wf_end_p25,wf_end_p50,wf_end_p75,wf_end_p90,wf_end_p95,wf_end_mean,annual_retirements_end,annual_entries_end,pct_change_end,wf_mid_p50,pct_change_mid,forecast_end_year,forecast_start_year
035,Craig County,8328.0,14302.0,-0.732680844021494,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,7056.273988881921,7107.722084486117,7197.426251956091,7286.299936043201,7390.313364004854,7470.748707130042,7530.4806969537885,7290.611029330861,141.51779950526515,143.86295351741586,-12.51,7725.8411967568645,-7.23,2035,2026
053,Grant County,2213.0,4131.0,-0.8656412014479201,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1883.4030489882243,1896.378774516963,1917.6478236735225,1942.9450753981444,1968.6639348546812,1991.2018614369747,2007.2211371008148,1943.6772802219023,37.839823248987955,42.81596871596486,-12.2,2050.1833494354514,-7.36,2035,2026
137,Stephens County,24597.0,43551.0,-0.7017179360267913,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,20944.34238841531,21089.281785996005,21341.45016687108,21627.642510484962,21929.688985406,22198.40961424044,22352.03797893138,21637.380667541132,416.3057719742824,443.7315737175885,-12.07,22851.245954894934,-7.1,2035,2026
103,Noble County,6071.0,10897.0,-0.729816185551069,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,5192.439241182389,5227.805351207381,5288.571091360591,5355.464093835155,5430.345208929939,5500.200622789513,5535.087658492857,5360.384126748651,107.25625064148795,111.10998759327039,-11.79,5680.791117084962,-6.43,2035,2026
121,Pittsburg County,24897.0,43561.0,-0.7293225098691127,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,21302.442266899365,21447.047230097007,21718.752055857232,22014.020812418137,22293.821036366753,22564.62713552261,22726.593680828493,22011.962115889935,413.56088094873814,448.99769054463525,-11.58,23206.401912642374,-6.79,2035,2026
113,Osage County,26546.0,45997.0,-0.25491638435682945,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,22807.138158500497,22975.328498924333,23266.08274796889,23581.19173385879,23884.204843838415,24165.943473929903,24341.60119432785,23577.078166752788,485.5136266247523,426.85882813940475,-11.17,24790.40556764302,-6.61,2035,2026
023,Choctaw County,7803.0,14297.0,-0.715480532853219,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,6739.997244424334,6790.996550337156,6864.488663172361,6954.414207498975,7040.91367086504,7125.969704857537,7181.44809685632,6955.709891465097,136.32297187256114,159.55081735529978,-10.88,7275.400118569203,-6.76,2035,2026
057,Harmon County,1303.0,2406.0,-1.0140170314520307,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1126.9268540452777,1134.1282631986078,1146.7019557505491,1161.6577984630626,1177.6605871085258,1189.9178846465713,1197.1953798511954,1162.1880391748477,20.242980932496096,24.887872598711287,-10.85,1222.6716144503844,-6.16,2035,2026
065,Jackson County,14674.0,24678.0,-1.0138877249128213,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,12672.142035284642,12763.472399353073,12926.501688639517,13092.861871472433,13274.882457248339,13434.692758771767,13534.205233072385,13097.855353555287,211.71321434339023,292.2310864843463,-10.78,13689.422146835705,-6.71,2035,2026
105,Nowata County,5383.0,9435.0,-0.3752135767742251,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,4661.187699954946,4690.267645591698,4747.48576939305,4807.107854961016,4875.293783653995,4932.517795645905,4970.266997994191,4811.50340376716,97.65079012876353,98.87872349296818,-10.7,5033.384580558345,-6.49,2035,2026
